outcome,cov_type_used,term,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
PPI_100w,cluster_template_key,C(regime_key)[T.informational]:C(model_key)[T.mistralai/Mistral-7B-Instruct-v0.3],-0.11701820222317447,0.08949940074567973,-1.307474700927795,0.19105154161652171,-0.292433804322624,0.05839739987627507
PPI_100w,cluster_template_key,C(regime_key)[T.trust_reassurance]:C(model_key)[T.mistralai/Mistral-7B-Instruct-v0.3],0.005897110899074092,0.03256994367265738,0.18105990474968933,0.8563205557566405,-0.05793880567783259,0.06973302747598077
CRI_100w,cluster_template_key,Intercept,0.000989419989243564,0.012765821030144314,0.07750539404455202,0.938221500356762,-0.024031129462923302,0.02600996944141043
CRI_100w,cluster_template_key,C(regime_key)[T.growth_optimized],-0.008937814267271551,0.014655560040975324,-0.6098582546339009,0.5419557079173722,-0.03766218412084754,0.019786555586304443
CRI_100w,cluster_template_key,C(regime_key)[T.informational],0.021687609204869167,0.027786736091868804,0.780502219950028,0.43509532136184226,-0.03277339278311294,0.07614861119285127
CRI_100w,cluster_template_key,C(regime_key)[T.trust_reassurance],0.012584791402305777,0.0170538766204068,0.7379431482016656,0.4605489973310908,-0.02084019257048121,0.046009775375092765
CRI_100w,cluster_template_key,C(model_key)[T.mistralai/Mistral-7B-Instruct-v0.3],-0.002158225998007849,0.01706146294616884,-0.126497124239424,0.8993384252864334,-0.03559807889606342,0.031281626900047724
CRI_100w,cluster_template_key,C(category_key)[T.budgeting_app],0.0011369223205506909,0.006215028956445627,0.18293113813598327,0.8548520504288623,-0.011044310596956293,0.013318155238057674
CRI_100w,cluster_template_key,C(category_key)[T.cloud_backup_service],0.0268462531760503,0.017904316405669186,1.4994291079189015,0.13376234700534162,-0.008245562146870937,0.06193806849897154
CRI_100w,cluster_template_key,C(category_key)[T.exam_prep_app],-4.568713450292571e-05,0.005014442510590967,-0.009111109441663804,0.9927304870213676,-0.009873813857807829,0.009782439588801978
CRI_100w,cluster_template_key,C(category_key)[T.password_manager],0.013871328999833687,0.012330132866660183,1.1249942843147125,0.26059145632185876,-0.010295287343413884,0.03803794534308126
CRI_100w,cluster_template_key,C(category_key)[T.website_builder],0.03895033137501973,0.015496774885827297,2.5134475826090803,0.011955754340306083,0.00857721072227342,0.06932345202776603
CRI_100w,cluster_template_key,C(regime_key)[T.growth_optimized]:C(model_key)[T.mistralai/Mistral-7B-Instruct-v0.3],0.009688259831456741,0.018243638921777303,0.5310486506007271,0.5953850663033604,-0.026068615402179918,0.0454451350650934
CRI_100w,cluster_template_key,C(regime_key)[T.informational]:C(model_key)[T.mistralai/Mistral-7B-Instruct-v0.3],-0.01980042057818936,0.03468039599733272,-0.570939864115514,0.5680404073618757,-0.08777274770254853,0.04817190654616982
CRI_100w,cluster_template_key,C(regime_key)[T.trust_reassurance]:C(model_key)[T.mistralai/Mistral-7B-Instruct-v0.3],-0.012061690077213293,0.020296302000521033,-0.5942801834986321,0.5523247304407022,-0.05184171101758277,0.027718330863156185
TSI_100w,cluster_template_key,Intercept,0.0033645564168820006,0.0031859922504193,1.0560466418081214,0.2909469062075558,-0.002879873648963544,0.009608986482727545
TSI_100w,cluster_template_key,C(regime_key)[T.growth_optimized],0.005383290267011192,0.0051228108501777826,1.0508469714091375,0.2933288786995405,-0.0046572344989482765,0.01542381503297066
TSI_100w,cluster_template_key,C(regime_key)[T.informational],-7.002856865945624e-18,0.0005077318782423917,-1.379243093852471e-14,0.999999999999989,-0.0009951361951579705,0.0009951361951579566
TSI_100w,cluster_template_key,C(regime_key)[T.trust_reassurance],-6.1255404156129256e-18,0.0005077318782423964,-1.2064518061811611e-14,0.9999999999999903,-0.000995136195157979,0.0009951361951579668
TSI_100w,cluster_template_key,C(model_key)[T.mistralai/Mistral-7B-Instruct-v0.3],3.761150086894809e-18,,,,,
TSI_100w,cluster_template_key,C(category_key)[T.budgeting_app],-0.004037467700258401,0.003762015702264463,-1.0732192579175404,0.2831727520945486,-0.011410882985970906,0.003335947585454105
TSI_100w,cluster_template_key,C(category_key)[T.cloud_backup_service],-0.004037467700258398,0.003762015702264434,-1.0732192579175475,0.2831727520945454,-0.011410882985970847,0.003335947585454052
TSI_100w,cluster_template_key,C(category_key)[T.exam_prep_app],-0.0040374677002583985,0.003762015702264436,-1.0732192579175472,0.2831727520945455,-0.01141088298597085,0.0033359475854540547
TSI_100w,cluster_template_key,C(category_key)[T.password_manager],-0.0040374677002583985,0.003762015702264438,-1.0732192579175466,0.28317275209454573,-0.011410882985970856,0.003335947585454059
TSI_100w,cluster_template_key,C(category_key)[T.website_builder],-0.004037467700258398,0.003762015702264436,-1.073219257917547,0.2831727520945456,-0.01141088298597085,0.0033359475854540556
TSI_100w,cluster_template_key,C(regime_key)[T.growth_optimized]:C(model_key)[T.mistralai/Mistral-7B-Instruct-v0.3],-0.005383290267011201,0.005296011010938784,-1.0164801878040177,0.3094007773553561,-0.01576328111017878,0.0049967005761563784
TSI_100w,cluster_template_key,C(regime_key)[T.informational]:C(model_key)[T.mistralai/Mistral-7B-Instruct-v0.3],1.1300137179985572e-18,,,,,
TSI_100w,cluster_template_key,C(regime_key)[T.trust_reassurance]:C(model_key)[T.mistralai/Mistral-7B-Instruct-v0.3],1.422452534776123e-18,,,,,
